sex,age,exp,q28,q29,q30,q31,q32,q40_1,q40_2,q40_3,q40_4,q40_5,q16_part
2,29,2,1,1,1,1,6,0,0,1,1,1,5
1,80,2,1,1,1,1,4,0,0,1,1,1,5
1,46,3,1,1,1,0,6,0,1,1,1,1,5
1,57,4,1,1,1,1,6,0,0,1,1,1,5
2,25,3,1,1,1,1,6,0,0,1,1,1,1
2,32,4,1,1,0,0,6,0,0,1,1,1,1
1,77,1,1,1,1,1,7,0,1,1,1,1,1
2,39,2,0,1,1,1,5,0,0,0,1,1,5
2,30,4,1,1,0,0,4,0,0,1,1,0,1
1,36,3,1,1,1,1,4,0,1,1,1,1,5
2,41,1,1,1,0,0,5,0,1,1,0,1,5
1,64,2,1,0,1,0,4,0,0,0,1,0,3
2,79,4,1,1,0,0,4,0,0,0,1,0,1
2,65,1,1,1,0,0,3,0,0,0,0,0,3
2,60,2,1,1,1,1,6,0,0,1,1,1,1
1,27,3,1,1,1,1,6,0,0,1,1,1,5
1,20,1,1,1,1,1,4,0,1,1,1,1,5
1,27,2,0,0,1,0,4,0,0,1,1,0,5
2,37,4,1,1,0,0,4,0,0,0,1,0,5
2,29,3,0,1,0,0,6,0,0,1,1,1,5
1,56,1,1,1,1,0,5,0,0,1,1,0,5
2,73,2,0,0,0,0,4,0,0,0,0,0,5
2,66,3,1,1,0,0,6,0,0,1,1,1,5
1,55,4,0,1,1,0,5,0,1,1,1,0,5
2,33,2,1,1,1,0,6,0,0,0,1,1,5
1,42,1,1,1,0,0,6,0,1,1,1,1,5
1,79,2,0,1,0,0,4,0,1,1,1,0,5
1,78,4,0,1,0,0,6,0,0,0,1,0,5
2,76,1,1,1,0,0,6,0,0,1,0,0,5
2,40,2,1,1,0,0,5,0,1,1,1,1,5
2,60,3,1,1,0,0,6,0,1,1,1,1,5
2,24,4,1,0,0,0,6,0,0,1,1,1,5
2,85,2,0,1,1,0,6,0,0,1,1,0,5
2,54,3,1,1,1,0,5,0,0,0,1,1,5
2,80,4,1,1,1,0,6,0,1,1,1,1,5
2,40,1,1,1,0,0,6,0,1,1,1,1,5
1,20,2,1,1,0,0,4,0,1,1,1,1,1
2,64,3,0,1,1,0,7,0,0,1,1,1,3
2,63,2,1,1,0,0,4,0,0,0,1,0,3
2,66,3,0,0,0,0,4,0,0,1,1,1,3
2,32,4,1,1,0,0,4,0,0,1,1,1,1
1,68,1,1,1,1,1,6,0,1,1,1,0,1
1,76,2,1,1,1,1,6,0,1,1,1,1,5
2,76,3,0,1,1,0,6,1,1,1,1,1,3
2,74,3,1,1,0,0,4,0,0,1,0,0,1
2,37,4,0,1,0,0,4,0,0,1,1,1,1
2,39,1,1,1,0,0,4,0,0,1,1,1,3
1,20,2,1,1,0,0,4,0,0,1,1,1,3
2,84,3,1,1,1,0,6,0,0,1,0,0,3
2,62,4,0,0,0,0,4,0,0,0,1,0,3
2,50,1,1,0,0,0,4,0,1,1,1,1,3
1,46,2,1,0,0,0,6,0,0,1,1,1,3
2,19,3,0,1,1,1,4,0,1,1,1,1,3
2,63,4,0,1,1,0,5,0,0,1,1,0,3
2,80,1,0,1,1,0,5,0,1,1,1,1,3
2,25,2,1,1,0,0,5,0,1,1,1,1,1
2,29,3,1,1,1,1,6,0,1,1,1,1,5
2,40,1,1,0,0,0,6,0,0,1,1,1,5
2,28,2,1,1,0,0,6,1,1,1,1,1,1
1,58,3,0,0,1,1,6,1,1,1,1,1,1
2,60,4,1,0,0,0,6,0,0,1,1,1,5
2,35,3,1,1,1,0,6,0,0,1,1,1,5
2,36,1,0,0,0,0,4,0,0,1,1,1,5
2,36,1,1,0,0,0,4,0,0,1,1,1,5
2,33,2,1,1,0,1,5,0,1,1,1,1,5
2,57,2,1,1,0,0,6,0,1,1,1,1,5
1,71,3,1,1,1,1,6,0,0,1,1,1,5
1,76,4,1,1,0,0,6,1,0,1,1,1,1
2,23,1,1,1,0,0,6,0,0,0,1,1,5
2,22,1,1,1,0,0,6,0,1,1,1,1,5
2,38,3,1,1,1,1,6,0,1,1,1,1,5
2,65,4,1,1,1,1,6,0,0,1,1,1,5
2,74,3,1,1,0,0,6,0,1,1,1,1,1
2,49,4,1,1,1,1,6,0,1,1,1,1,5
2,61,3,0,0,0,0,6,1,0,1,1,1,3
2,56,4,1,1,0,0,6,1,0,1,1,1,1
2,79,1,1,1,1,1,6,0,0,1,1,1,1
2,71,2,1,1,1,1,6,0,0,1,1,1,3
1,20,3,1,1,1,0,6,1,0,1,1,1,5
2,60,4,1,1,0,0,5,1,0,1,1,0,1
2,59,1,1,1,0,1,6,0,1,1,1,1,1
2,83,2,1,1,0,1,6,0,0,1,1,0,1
2,71,3,1,1,0,1,7,0,0,1,1,1,1
2,46,4,1,1,0,1,4,1,1,1,1,1,1
2,72,1,1,0,0,0,6,0,0,1,0,0,1
1,23,2,1,1,0,1,5,0,0,1,1,1,4
1,26,3,1,1,0,0,4,0,0,1,1,1,5
2,34,4,1,1,0,0,4,1,1,1,1,1,1
2,33,1,0,1,0,0,4,0,1,1,1,1,1
1,44,3,0,1,1,1,6,0,0,1,1,1,5
2,69,4,1,1,1,0,4,0,0,1,1,1,5
2,34,1,0,1,0,0,4,0,0,1,1,1,5
2,27,4,0,1,0,0,5,0,0,1,1,1,5
2,32,3,0,1,0,0,5,0,1,1,1,1,5
1,60,3,1,1,0,0,3,0,0,1,1,0,5
2,63,1,1,1,0,0,6,0,1,1,1,1,5
2,82,2,1,1,0,0,4,0,0,0,0,0,5
1,46,3,1,1,1,1,6,0,1,1,1,1,5
2,43,4,1,1,0,1,4,0,0,1,1,1,5
2,52,1,1,1,1,1,6,0,0,1,1,1,5
2,25,2,1,1,0,0,4,0,0,1,1,1,5
1,79,3,1,1,1,1,6,0,0,0,1,0,5
1,48,3,0,0,0,0,4,0,0,1,1,1,5
1,20,3,1,1,1,0,4,0,0,1,1,1,5
2,51,4,0,1,0,0,5,0,1,1,1,1,5
2,38,1,0,1,0,0,4,1,0,1,1,1,1
2,32,4,1,1,0,0,6,1,1,1,1,1,1
2,23,1,1,1,1,0,6,0,0,1,1,1,5
1,39,1,0,1,1,0,6,0,0,1,1,1,5
2,27,2,1,0,0,0,6,0,0,0,1,1,5
2,35,1,0,0,0,0,5,0,0,1,1,1,5
2,29,3,0,0,0,0,6,0,0,1,1,1,5
2,25,4,0,1,0,0,5,0,0,1,1,1,5
1,46,2,1,1,1,0,4,0,1,1,1,1,1
1,32,4,1,1,0,0,4,0,1,1,1,1,5
1,45,4,1,1,1,0,5,1,0,1,1,1,5
2,51,4,0,0,0,0,4,0,0,1,1,1,3
1,22,1,1,1,0,0,4,0,0,1,1,1,1
2,63,2,1,1,0,0,6,0,0,1,1,1,5
2,50,3,1,1,0,1,5,0,1,1,1,1,5
2,38,4,1,1,1,0,6,0,0,1,1,1,5
2,29,1,0,0,0,0,5,1,0,1,1,1,5
1,70,2,1,1,1,1,6,0,0,1,1,1,5
